loan_id,customer_id,loan_amount,interest_rate,loan_term_months,loan_type,loan_purpose,application_date,approval_status,loan_status
2438,1241,3101006,9.7,120,Home Loan,Education,2025-05-18,Pending,Not Issued
2439,1242,1457947,8.84,84,Business Loan,Vehicle,2024-04-25,Approved,Closed
2440,1242,1946147,7.89,12,Personal Loan,Education,2026-01-01,Approved,Active
2441,1243,1051934,17.54,120,Personal Loan,Medical,2023-10-24,Rejected,Not Issued
2442,1243,4325946,13.45,120,Home Loan,Education,2023-02-04,Rejected,Not Issued
2443,1244,1366219,15.54,48,Business Loan,Vehicle,2023-08-26,Pending,Not Issued
2444,1245,2898357,13.04,120,Education Loan,Travel,2026-04-09,Pending,Not Issued
2445,1245,3255364,16.11,84,Car Loan,Education,2024-07-09,Approved,Active
2446,1246,1737422,9.66,60,Business Loan,Travel,2025-12-11,Approved,Active
2447,1246,984150,9.11,48,Education Loan,Vehicle,2023-05-23,Approved,Active
2448,1247,1758587,8.39,60,Education Loan,Business Expansion,2026-02-23,Approved,Active
2449,1247,1930323,7.4,24,Education Loan,Travel,2022-12-29,Approved,Closed
2450,1247,2248179,8.67,36,Car Loan,Travel,2023-07-08,Approved,Closed
2451,1248,1911475,13.47,60,Car Loan,Home Purchase,2022-09-23,Rejected,Not Issued
2452,1249,1717626,7.19,60,Business Loan,Vehicle,2022-09-13,Approved,Closed
2453,1249,455681,7.05,84,Home Loan,Travel,2024-09-03,Approved,Closed
2454,1250,1293426,15.71,36,Car Loan,Business Expansion,2025-01-21,Rejected,Not Issued
2455,1250,2297936,14.82,12,Car Loan,Wedding,2022-08-26,Pending,Not Issued
2456,1250,3205109,13.42,120,Car Loan,Education,2024-07-23,Pending,Not Issued
2457,1251,3041041,16.1,60,Car Loan,Travel,2025-07-16,Rejected,Not Issued
2458,1251,318550,17.45,84,Car Loan,Medical,2025-05-21,Rejected,Not Issued
2459,1251,942318,15.01,36,Personal Loan,Wedding,2022-11-02,Pending,Not Issued
2460,1252,445650,8.19,48,Home Loan,Medical,2024-12-19,Approved,Active
2461,1252,954253,8.33,24,Car Loan,Vehicle,2025-05-15,Approved,Closed
2462,1252,4687369,7.01,48,Home Loan,Travel,2023-09-22,Approved,Closed
2463,1253,2035693,10.25,36,Business Loan,Home Purchase,2023-10-07,Approved,Active
2464,1253,2976667,11.68,12,Personal Loan,Travel,2026-04-11,Approved,Closed
2465,1253,3921783,9.5,60,Car Loan,Education,2024-07-16,Approved,Default
2466,1254,4485983,16.27,48,Car Loan,Travel,2024-06-23,Pending,Not Issued
2467,1254,4225774,13.27,120,Education Loan,Home Purchase,2025-11-17,Rejected,Not Issued
2468,1254,2156549,15.61,60,Education Loan,Home Purchase,2023-11-30,Rejected,Not Issued
2469,1255,4739440,8.78,12,Personal Loan,Medical,2025-11-21,Approved,Closed
2470,1256,164469,8.76,24,Personal Loan,Medical,2023-01-07,Approved,Active
2471,1256,1798897,8.31,24,Education Loan,Vehicle,2025-05-30,Approved,Closed
2472,1256,610819,7.01,12,Personal Loan,Business Expansion,2025-10-31,Approved,Closed
2473,1257,437103,16.4,120,Home Loan,Medical,2025-09-10,Rejected,Not Issued
2474,1258,1539510,12.8,36,Car Loan,Education,2022-10-05,Approved,Default
2475,1258,593626,16.69,60,Personal Loan,Wedding,2024-05-24,Approved,Active
2476,1258,607280,15.32,24,Home Loan,Business Expansion,2024-10-23,Approved,Active
2477,1259,2723842,8.35,120,Education Loan,Business Expansion,2023-06-11,Approved,Closed
2478,1259,4057584,8.23,84,Home Loan,Travel,2023-06-05,Approved,Active
2479,1260,792557,15.46,60,Education Loan,Medical,2025-03-27,Rejected,Not Issued
2480,1261,60995,12.12,84,Education Loan,Business Expansion,2025-06-08,Rejected,Not Issued
2481,1262,200968,16.26,120,Personal Loan,Travel,2023-06-18,Pending,Not Issued
2482,1262,107465,14.74,36,Home Loan,Travel,2024-04-04,Rejected,Not Issued
2483,1263,1739939,13.9,12,Personal Loan,Business Expansion,2025-06-07,Rejected,Not Issued
2484,1263,3564412,13.92,60,Home Loan,Business Expansion,2023-03-09,Rejected,Not Issued
2485,1263,3437860,17.0,36,Personal Loan,Home Purchase,2025-10-11,Rejected,Not Issued
2486,1264,321022,7.19,24,Education Loan,Home Purchase,2023-10-13,Approved,Active
2487,1264,1009269,7.29,60,Education Loan,Travel,2023-10-07,Approved,Closed
2488,1265,2281800,12.81,60,Car Loan,Home Purchase,2024-04-27,Pending,Not Issued
2489,1265,3513577,14.96,60,Home Loan,Wedding,2022-12-29,Rejected,Not Issued
2490,1266,1002146,15.24,24,Home Loan,Medical,2026-07-08,Rejected,Not Issued
2491,1266,1488384,12.84,60,Business Loan,Wedding,2023-04-25,Rejected,Not Issued
2492,1267,1747171,9.29,24,Business Loan,Travel,2026-02-24,Approved,Active
2493,1267,2054354,9.0,84,Car Loan,Wedding,2023-02-05,Approved,Default
2494,1268,2757473,14.31,48,Personal Loan,Education,2024-12-09,Rejected,Not Issued
2495,1269,878890,12.82,120,Education Loan,Business Expansion,2024-11-29,Rejected,Not Issued
2496,1270,3503096,11.52,36,Business Loan,Medical,2022-10-21,Approved,Active
2497,1270,3243437,11.89,60,Home Loan,Travel,2023-02-18,Approved,Closed
2498,1270,3183828,10.54,36,Education Loan,Home Purchase,2024-01-15,Approved,Closed
2499,1271,1117120,8.68,12,Car Loan,Education,2024-01-11,Approved,Active
2500,1272,4476750,17.72,120,Business Loan,Education,2025-01-13,Rejected,Not Issued
2501,1273,702847,9.24,60,Home Loan,Vehicle,2025-02-12,Approved,Active
2502,1273,3087273,9.5,36,Business Loan,Wedding,2025-01-01,Approved,Active
2503,1274,3579245,8.6,84,Home Loan,Education,2023-07-24,Approved,Active
2504,1274,678399,8.23,36,Education Loan,Medical,2023-03-05,Approved,Active
2505,1275,1087823,17.22,84,Home Loan,Business Expansion,2024-05-27,Pending,Not Issued
2506,1276,3460810,15.83,12,Business Loan,Travel,2023-05-14,Rejected,Not Issued
2507,1277,492856,16.17,84,Personal Loan,Vehicle,2023-01-11,Pending,Not Issued
2508,1277,690592,13.41,60,Car Loan,Home Purchase,2024-10-18,Pending,Not Issued
2509,1277,1984908,12.66,24,Personal Loan,Medical,2024-08-26,Pending,Not Issued
2510,1278,1336664,17.61,24,Personal Loan,Education,2025-06-01,Rejected,Not Issued
2511,1278,3214859,12.77,12,Education Loan,Vehicle,2023-06-07,Rejected,Not Issued
2512,1279,3718712,7.9,24,Business Loan,Home Purchase,2023-02-21,Approved,Default
2513,1280,2462871,15.08,24,Business Loan,Travel,2025-10-23,Pending,Not Issued
2514,1280,2542862,16.14,48,Car Loan,Medical,2023-09-27,Approved,Active
2515,1280,2132080,12.17,60,Education Loan,Business Expansion,2022-08-24,Approved,Closed
2516,1281,1149886,12.91,24,Personal Loan,Vehicle,2026-07-13,Pending,Not Issued
2517,1282,3677239,13.39,84,Car Loan,Wedding,2023-04-15,Rejected,Not Issued
2518,1282,931709,13.9,120,Car Loan,Vehicle,2025-06-21,Rejected,Not Issued
2519,1283,409922,16.95,120,Car Loan,Vehicle,2022-10-06,Pending,Not Issued
2520,1283,572759,15.9,12,Education Loan,Vehicle,2024-03-13,Pending,Not Issued
2521,1284,497324,8.19,48,Business Loan,Travel,2026-01-01,Approved,Active
2522,1284,266468,7.97,48,Education Loan,Education,2022-10-30,Approved,Active
2523,1285,1513089,13.36,60,Business Loan,Home Purchase,2024-08-02,Rejected,Not Issued
2524,1285,430334,15.98,12,Education Loan,Business Expansion,2023-09-01,Pending,Not Issued
2525,1285,4545258,17.0,84,Car Loan,Business Expansion,2023-06-03,Pending,Not Issued
2526,1286,1805046,7.11,36,Education Loan,Travel,2022-08-28,Approved,Active
2527,1286,858170,8.36,12,Home Loan,Home Purchase,2025-04-24,Approved,Closed
2528,1287,2066634,17.72,12,Education Loan,Business Expansion,2023-03-11,Pending,Not Issued
2529,1287,1744112,13.16,84,Business Loan,Home Purchase,2024-06-18,Rejected,Not Issued
2530,1288,3488863,10.37,48,Personal Loan,Travel,2023-05-21,Approved,Active
2531,1288,1759791,10.4,48,Personal Loan,Business Expansion,2023-07-01,Approved,Default
2532,1289,1591516,9.83,84,Education Loan,Education,2022-08-12,Pending,Not Issued
2533,1289,807799,10.28,84,Education Loan,Home Purchase,2023-08-02,Pending,Not Issued
2534,1290,2274445,11.39,60,Car Loan,Wedding,2024-07-06,Approved,Active
2535,1290,233262,11.36,60,Home Loan,Wedding,2023-03-08,Approved,Active
2536,1291,496764,8.09,12,Car Loan,Business Expansion,2022-08-12,Approved,Default
2537,1292,937827,12.63,60,Education Loan,Business Expansion,2025-08-03,Pending,Not Issued
2538,1293,2175785,10.98,120,Car Loan,Medical,2025-03-16,Pending,Not Issued
2539,1294,206045,16.41,120,Business Loan,Business Expansion,2022-11-22,Rejected,Not Issued
2540,1294,1351576,14.82,60,Home Loan,Travel,2023-03-16,Rejected,Not Issued
2541,1294,739341,15.68,48,Business Loan,Wedding,2026-07-05,Rejected,Not Issued
2542,1295,399500,14.68,60,Home Loan,Travel,2025-09-26,Rejected,Not Issued
2543,1296,2618892,16.9,120,Home Loan,Travel,2023-02-25,Rejected,Not Issued
2544,1296,3177404,17.33,36,Car Loan,Wedding,2025-07-28,Rejected,Not Issued
2545,1296,729924,14.88,84,Education Loan,Vehicle,2024-06-27,Rejected,Not Issued
2546,1297,1611839,8.32,12,Home Loan,Vehicle,2023-03-20,Approved,Active
2547,1297,2295502,7.15,84,Business Loan,Vehicle,2023-04-20,Approved,Active
2548,1298,4016742,14.57,84,Car Loan,Travel,2024-06-03,Rejected,Not Issued
2549,1298,2889054,17.22,120,Home Loan,Home Purchase,2024-02-27,Pending,Not Issued
2550,1298,3032738,17.59,36,Car Loan,Home Purchase,2022-08-18,Rejected,Not Issued
2551,1299,501656,15.79,36,Business Loan,Business Expansion,2023-10-03,Pending,Not Issued
2552,1300,3077711,10.05,36,Education Loan,Education,2022-11-30,Approved,Active
2553,1300,632972,10.37,12,Car Loan,Travel,2025-03-08,Approved,Default
2554,1301,484706,16.97,84,Education Loan,Home Purchase,2023-09-01,Rejected,Not Issued
2555,1302,1496389,16.33,12,Education Loan,Medical,2024-02-02,Pending,Not Issued
2556,1302,112308,17.63,60,Education Loan,Wedding,2024-11-06,Rejected,Not Issued
2557,1302,2146180,17.55,12,Home Loan,Business Expansion,2025-03-10,Pending,Not Issued
2558,1303,2903233,16.09,48,Business Loan,Travel,2024-07-24,Pending,Not Issued
2559,1303,1493406,14.59,36,Home Loan,Home Purchase,2024-11-15,Pending,Not Issued
2560,1304,1821084,17.57,36,Personal Loan,Travel,2023-06-04,Pending,Not Issued
2561,1304,3098054,17.36,24,Home Loan,Medical,2022-12-07,Pending,Not Issued
2562,1304,611582,16.1,84,Education Loan,Business Expansion,2025-01-22,Pending,Not Issued
2563,1305,1657070,14.09,120,Car Loan,Medical,2023-11-13,Pending,Not Issued
2564,1305,957603,14.83,24,Car Loan,Education,2022-12-18,Rejected,Not Issued
2565,1306,1284095,9.61,60,Home Loan,Home Purchase,2025-03-22,Approved,Active
2566,1306,4689972,9.76,48,Home Loan,Vehicle,2024-08-14,Approved,Closed
2567,1306,4246049,11.36,60,Education Loan,Home Purchase,2023-01-23,Approved,Closed
2568,1307,1336504,15.84,36,Business Loan,Home Purchase,2026-05-13,Rejected,Not Issued
2569,1307,4076790,17.45,84,Car Loan,Business Expansion,2023-03-03,Rejected,Not Issued
2570,1307,4513388,12.38,60,Personal Loan,Business Expansion,2025-11-26,Pending,Not Issued
2571,1308,2524247,17.25,48,Education Loan,Travel,2025-01-24,Pending,Not Issued
2572,1308,728199,14.9,60,Education Loan,Education,2024-11-15,Pending,Not Issued
2573,1308,2359774,15.25,24,Car Loan,Travel,2025-04-06,Rejected,Not Issued
2574,1309,989814,8.67,48,Business Loan,Education,2025-07-02,Approved,Active
2575,1310,1627010,14.44,12,Car Loan,Education,2024-01-26,Approved,Closed
2576,1310,3161346,13.31,120,Education Loan,Business Expansion,2025-11-06,Approved,Active
2577,1311,3153901,11.05,60,Car Loan,Travel,2024-07-02,Approved,Default
2578,1311,733485,10.75,84,Car Loan,Vehicle,2022-12-29,Approved,Active
2579,1311,2688827,10.65,120,Business Loan,Business Expansion,2023-09-09,Approved,Default
2580,1312,4975665,11.4,48,Car Loan,Business Expansion,2024-04-07,Approved,Active
2581,1313,1107620,12.97,12,Education Loan,Home Purchase,2026-06-20,Pending,Not Issued
2582,1313,1348660,13.59,60,Business Loan,Wedding,2024-10-01,Pending,Not Issued
2583,1313,1062593,13.29,60,Home Loan,Travel,2024-11-01,Rejected,Not Issued
2584,1314,1223185,7.22,48,Personal Loan,Business Expansion,2026-06-28,Approved,Active
2585,1315,179242,9.18,12,Home Loan,Business Expansion,2025-06-17,Approved,Active
2586,1315,509816,10.62,24,Business Loan,Medical,2025-02-02,Approved,Active
2587,1315,1327652,9.79,84,Education Loan,Home Purchase,2024-06-28,Approved,Active
2588,1316,3123135,9.09,120,Car Loan,Vehicle,2024-08-22,Approved,Closed
2589,1316,1174385,11.8,24,Car Loan,Vehicle,2025-03-09,Approved,Active
2590,1317,131832,14.4,24,Business Loan,Travel,2026-07-07,Pending,Not Issued
2591,1318,692473,10.02,48,Education Loan,Wedding,2025-12-15,Approved,Active
2592,1318,694150,11.99,120,Personal Loan,Medical,2024-09-01,Approved,Active
2593,1318,1019079,10.14,84,Business Loan,Vehicle,2023-01-25,Approved,Active
2594,1319,727301,9.34,60,Business Loan,Wedding,2025-09-04,Approved,Closed
2595,1319,4613670,9.59,84,Business Loan,Wedding,2023-10-17,Approved,Active
2596,1319,1655412,10.7,24,Education Loan,Education,2025-04-05,Approved,Closed
2597,1320,679369,12.58,12,Car Loan,Wedding,2024-03-26,Pending,Not Issued
2598,1320,51911,17.9,48,Car Loan,Travel,2025-04-05,Pending,Not Issued
2599,1321,3510077,17.23,36,Home Loan,Business Expansion,2025-06-21,Rejected,Not Issued
2600,1322,2049003,15.5,120,Personal Loan,Vehicle,2022-09-30,Rejected,Not Issued
2601,1322,1807594,14.51,36,Business Loan,Medical,2023-04-30,Rejected,Not Issued
2602,1323,159942,15.15,36,Car Loan,Home Purchase,2024-02-01,Pending,Not Issued
2603,1323,657693,16.23,36,Education Loan,Medical,2026-06-19,Rejected,Not Issued
2604,1324,2771056,15.62,84,Home Loan,Wedding,2023-03-14,Rejected,Not Issued
2605,1324,3248036,14.15,36,Car Loan,Medical,2023-03-07,Rejected,Not Issued
2606,1325,743484,13.97,36,Car Loan,Vehicle,2025-05-02,Rejected,Not Issued
2607,1325,749945,14.96,60,Business Loan,Education,2025-03-28,Rejected,Not Issued
2608,1326,695679,14.73,24,Home Loan,Business Expansion,2024-11-02,Rejected,Not Issued
2609,1327,1227907,13.04,12,Home Loan,Medical,2022-08-10,Rejected,Not Issued
2610,1327,2198450,13.73,48,Personal Loan,Vehicle,2022-09-24,Pending,Not Issued
2611,1327,796101,14.51,36,Business Loan,Business Expansion,2026-03-02,Rejected,Not Issued
2612,1328,1374565,15.76,84,Education Loan,Travel,2025-09-16,Pending,Not Issued
2613,1328,1224739,15.26,84,Home Loan,Business Expansion,2025-05-05,Rejected,Not Issued
2614,1328,1136350,15.34,48,Education Loan,Vehicle,2023-06-28,Rejected,Not Issued
2615,1329,285213,15.1,36,Personal Loan,Travel,2024-05-16,Rejected,Not Issued
2616,1329,702153,14.54,36,Business Loan,Medical,2024-12-25,Rejected,Not Issued
2617,1330,4056603,15.55,48,Home Loan,Education,2022-12-22,Rejected,Not Issued
2618,1330,4634618,12.99,60,Personal Loan,Medical,2025-12-21,Pending,Not Issued
2619,1331,611615,16.26,60,Personal Loan,Travel,2024-08-01,Rejected,Not Issued
2620,1332,3045330,8.01,84,Home Loan,Travel,2024-03-29,Approved,Active
2621,1333,1456109,12.27,120,Personal Loan,Vehicle,2025-08-28,Pending,Not Issued
2622,1333,1746570,15.91,84,Car Loan,Wedding,2025-05-05,Pending,Not Issued
2623,1334,459680,15.33,36,Home Loan,Education,2025-09-25,Rejected,Not Issued
2624,1334,1336709,15.7,12,Education Loan,Vehicle,2023-05-31,Pending,Not Issued
2625,1335,339381,12.78,60,Personal Loan,Wedding,2026-04-15,Pending,Not Issued
2626,1336,1128111,17.67,24,Education Loan,Travel,2026-07-03,Pending,Not Issued
2627,1337,1270317,13.58,12,Car Loan,Wedding,2025-04-24,Pending,Not Issued
2628,1337,1286896,14.12,84,Home Loan,Education,2022-09-10,Pending,Not Issued
2629,1337,1252348,15.31,84,Education Loan,Vehicle,2024-05-18,Pending,Not Issued
2630,1338,346673,9.03,84,Business Loan,Home Purchase,2023-04-07,Approved,Default
2631,1339,4174408,10.41,120,Car Loan,Wedding,2025-05-12,Approved,Active
2632,1340,2534096,15.99,84,Education Loan,Education,2025-11-03,Rejected,Not Issued
2633,1340,3481473,15.39,120,Home Loan,Business Expansion,2025-10-25,Rejected,Not Issued
2634,1340,3037417,17.45,12,Home Loan,Travel,2024-10-03,Rejected,Not Issued
2635,1341,2177825,12.19,12,Car Loan,Wedding,2025-05-20,Pending,Not Issued
2636,1341,3194589,16.36,24,Car Loan,Home Purchase,2025-07-02,Rejected,Not Issued
2637,1342,2777769,17.27,48,Car Loan,Home Purchase,2024-11-03,Rejected,Not Issued
2638,1342,2075455,15.53,24,Education Loan,Medical,2024-09-19,Pending,Not Issued
2639,1343,2683663,12.66,120,Home Loan,Wedding,2022-12-02,Rejected,Not Issued
2640,1343,1910612,15.91,84,Home Loan,Wedding,2025-08-16,Rejected,Not Issued
2641,1344,272218,17.52,24,Car Loan,Vehicle,2024-01-21,Rejected,Not Issued
2642,1344,147229,16.43,120,Education Loan,Business Expansion,2024-04-24,Pending,Not Issued
2643,1345,781675,11.4,48,Car Loan,Home Purchase,2026-06-19,Approved,Active
2644,1345,1669284,9.29,24,Home Loan,Medical,2022-12-05,Approved,Active
2645,1346,903006,11.92,12,Business Loan,Wedding,2024-06-12,Pending,Not Issued
2646,1346,219579,9.52,12,Education Loan,Medical,2023-09-13,Approved,Active
2647,1346,2025572,10.49,12,Business Loan,Medical,2026-02-13,Approved,Active
2648,1347,2779784,14.34,60,Home Loan,Wedding,2023-01-19,Rejected,Not Issued
2649,1347,3520156,12.67,120,Business Loan,Education,2024-07-11,Pending,Not Issued
2650,1348,3333088,7.71,120,Education Loan,Home Purchase,2024-12-20,Approved,Closed
2651,1349,775393,15.66,84,Home Loan,Vehicle,2023-05-17,Pending,Not Issued
2652,1349,2122481,13.43,84,Personal Loan,Education,2023-05-26,Rejected,Not Issued
2653,1350,1641884,11.46,60,Car Loan,Business Expansion,2022-07-19,Pending,Not Issued
2654,1350,805205,11.05,12,Personal Loan,Vehicle,2026-05-22,Approved,Default
2655,1350,4403901,10.13,120,Home Loan,Wedding,2025-08-04,Approved,Active
2656,1351,1209613,16.6,12,Home Loan,Vehicle,2025-08-28,Rejected,Not Issued
2657,1351,2190242,16.14,24,Car Loan,Education,2026-01-03,Pending,Not Issued
2658,1351,1326940,15.22,120,Car Loan,Education,2022-09-14,Rejected,Not Issued
2659,1352,803558,14.56,24,Personal Loan,Home Purchase,2025-12-14,Pending,Not Issued
2660,1352,1765939,14.93,84,Personal Loan,Business Expansion,2023-09-26,Rejected,Not Issued
2661,1353,685857,9.54,60,Car Loan,Wedding,2022-09-13,Approved,Active
2662,1354,184098,17.55,36,Car Loan,Home Purchase,2023-08-07,Rejected,Not Issued
2663,1354,841270,12.4,60,Personal Loan,Vehicle,2024-12-24,Rejected,Not Issued
2664,1355,1365485,12.93,36,Business Loan,Business Expansion,2025-07-06,Rejected,Not Issued
2665,1356,2757866,8.3,120,Education Loan,Travel,2025-05-19,Approved,Active
2666,1356,2523152,8.2,12,Business Loan,Travel,2025-03-14,Approved,Closed
2667,1356,558326,8.78,24,Personal Loan,Home Purchase,2023-07-31,Approved,Active
2668,1357,4171263,13.57,60,Car Loan,Business Expansion,2025-07-01,Rejected,Not Issued
2669,1358,1148291,13.07,84,Education Loan,Vehicle,2025-02-12,Pending,Not Issued
2670,1358,359166,17.64,84,Home Loan,Vehicle,2024-09-25,Rejected,Not Issued
2671,1359,83275,8.67,12,Car Loan,Travel,2023-03-15,Approved,Active
2672,1359,252152,7.02,120,Personal Loan,Business Expansion,2023-12-14,Approved,Active
2673,1359,3108802,7.91,48,Business Loan,Education,2023-12-30,Approved,Active
2674,1360,1750804,10.38,120,Home Loan,Education,2024-10-15,Approved,Active
2675,1360,1441907,9.38,48,Education Loan,Medical,2024-05-27,Pending,Not Issued
2676,1361,1612040,17.71,36,Home Loan,Home Purchase,2024-06-26,Rejected,Not Issued
2677,1361,1570523,14.39,12,Home Loan,Wedding,2026-07-01,Pending,Not Issued
2678,1361,2079317,12.49,24,Car Loan,Travel,2022-10-29,Pending,Not Issued
2679,1362,2066146,16.71,84,Car Loan,Medical,2023-06-14,Pending,Not Issued
2680,1362,3820230,13.53,60,Home Loan,Vehicle,2025-07-21,Rejected,Not Issued
2681,1363,143729,15.96,120,Home Loan,Vehicle,2024-12-01,Rejected,Not Issued
2682,1364,999985,17.91,84,Business Loan,Medical,2022-09-30,Pending,Not Issued
2683,1364,188924,15.97,60,Education Loan,Home Purchase,2024-08-27,Pending,Not Issued
2684,1364,1011152,13.21,36,Education Loan,Wedding,2024-07-29,Pending,Not Issued
2685,1365,287385,16.37,12,Home Loan,Home Purchase,2025-09-19,Rejected,Not Issued
2686,1365,196640,14.05,24,Home Loan,Wedding,2022-09-29,Rejected,Not Issued
2687,1365,1542443,16.27,60,Education Loan,Education,2025-02-12,Pending,Not Issued
2688,1366,2506588,12.0,84,Home Loan,Home Purchase,2023-06-19,Pending,Not Issued
2689,1367,764000,8.99,48,Personal Loan,Business Expansion,2022-12-17,Approved,Default
2690,1367,4827800,7.55,120,Car Loan,Education,2026-03-24,Approved,Active
2691,1367,2030262,8.5,12,Car Loan,Education,2024-05-30,Approved,Closed
2692,1368,1296772,14.47,12,Personal Loan,Home Purchase,2022-10-17,Rejected,Not Issued
2693,1368,1202617,12.75,48,Car Loan,Education,2025-11-13,Pending,Not Issued
2694,1368,1237812,16.15,36,Business Loan,Travel,2026-01-25,Pending,Not Issued
2695,1369,1792680,10.4,36,Car Loan,Travel,2025-01-06,Approved,Active
2696,1369,922557,9.47,24,Car Loan,Travel,2025-11-22,Approved,Active
2697,1370,2476472,17.73,48,Education Loan,Business Expansion,2024-05-08,Rejected,Not Issued
2698,1370,4243496,15.77,84,Home Loan,Travel,2026-03-27,Rejected,Not Issued
2699,1370,1104803,16.88,36,Education Loan,Medical,2025-12-14,Rejected,Not Issued
2700,1371,705915,8.03,24,Car Loan,Travel,2024-06-06,Approved,Closed
2701,1371,4200003,8.97,48,Business Loan,Home Purchase,2022-10-21,Approved,Active
2702,1372,4916602,10.38,60,Car Loan,Education,2025-06-25,Approved,Active
2703,1372,1527972,9.1,48,Personal Loan,Travel,2024-06-19,Approved,Default
2704,1373,1125465,7.37,12,Business Loan,Medical,2026-06-03,Approved,Active
2705,1374,994536,12.87,120,Education Loan,Medical,2024-09-07,Rejected,Not Issued
2706,1374,685674,14.4,24,Personal Loan,Vehicle,2025-01-16,Rejected,Not Issued
2707,1374,430529,13.49,120,Education Loan,Education,2024-02-06,Pending,Not Issued
2708,1375,963354,10.74,48,Business Loan,Medical,2026-05-21,Pending,Not Issued
2709,1376,1936251,16.45,12,Personal Loan,Vehicle,2025-02-18,Pending,Not Issued
2710,1376,1446045,13.21,84,Business Loan,Education,2022-11-28,Rejected,Not Issued
2711,1376,686221,17.5,60,Education Loan,Wedding,2026-05-23,Pending,Not Issued
2712,1377,1341889,10.53,24,Home Loan,Medical,2024-01-30,Pending,Not Issued
2713,1378,2130643,7.06,36,Business Loan,Medical,2022-07-17,Approved,Active
2714,1378,650177,8.03,12,Home Loan,Medical,2024-01-10,Approved,Closed
2715,1379,556102,17.97,36,Home Loan,Business Expansion,2022-12-14,Rejected,Not Issued
2716,1379,1435015,16.1,12,Car Loan,Home Purchase,2024-10-30,Pending,Not Issued
2717,1380,348849,14.63,60,Car Loan,Wedding,2023-12-23,Pending,Not Issued
2718,1380,373852,13.48,48,Education Loan,Home Purchase,2024-08-01,Pending,Not Issued
2719,1380,514360,14.12,120,Home Loan,Wedding,2023-03-30,Rejected,Not Issued
2720,1381,88403,10.64,36,Business Loan,Home Purchase,2024-04-15,Pending,Not Issued
2721,1381,1163140,10.57,24,Car Loan,Business Expansion,2024-05-01,Pending,Not Issued
2722,1381,314433,10.54,24,Business Loan,Home Purchase,2026-03-29,Approved,Active
2723,1382,4515686,16.22,12,Business Loan,Business Expansion,2025-10-22,Pending,Not Issued
2724,1383,788216,17.36,120,Education Loan,Vehicle,2025-08-31,Approved,Closed
2725,1383,3000465,17.36,84,Business Loan,Medical,2023-04-13,Approved,Active
2726,1384,2074148,13.6,36,Personal Loan,Travel,2024-06-15,Pending,Not Issued
2727,1385,2296252,13.31,36,Personal Loan,Wedding,2023-05-25,Pending,Not Issued
2728,1386,980831,8.76,120,Car Loan,Business Expansion,2026-02-20,Approved,Active
2729,1386,3379509,8.76,24,Personal Loan,Business Expansion,2023-10-12,Approved,Active
2730,1386,1470768,8.95,60,Home Loan,Home Purchase,2025-12-27,Approved,Active
2731,1387,600414,13.92,48,Education Loan,Education,2025-09-17,Rejected,Not Issued
2732,1387,1884818,13.4,36,Car Loan,Travel,2023-12-11,Pending,Not Issued
2733,1388,2868019,8.18,12,Business Loan,Medical,2026-04-19,Approved,Active
2734,1389,1335786,9.48,36,Business Loan,Vehicle,2026-03-08,Pending,Not Issued
2735,1389,1890849,9.49,24,Car Loan,Travel,2025-11-01,Pending,Not Issued
2736,1389,1793333,9.47,60,Education Loan,Business Expansion,2023-03-15,Approved,Default
2737,1390,814606,8.1,36,Car Loan,Home Purchase,2024-12-04,Approved,Active
2738,1390,3774214,7.34,120,Home Loan,Medical,2023-12-26,Approved,Default
2739,1390,1427067,8.92,84,Business Loan,Business Expansion,2025-11-28,Approved,Default
2740,1391,2752496,15.95,36,Home Loan,Business Expansion,2025-08-27,Rejected,Not Issued
2741,1391,2145785,17.71,48,Education Loan,Medical,2022-08-25,Rejected,Not Issued
2742,1391,1478969,15.18,60,Home Loan,Education,2023-03-02,Pending,Not Issued
2743,1392,1516162,7.41,48,Home Loan,Home Purchase,2025-07-13,Approved,Active
2744,1392,245762,7.84,36,Home Loan,Home Purchase,2026-06-18,Approved,Closed
2745,1392,902792,7.92,12,Business Loan,Wedding,2024-01-30,Approved,Closed
2746,1393,2175384,15.64,84,Business Loan,Medical,2025-11-19,Rejected,Not Issued
2747,1394,1122967,12.55,12,Personal Loan,Business Expansion,2025-08-15,Rejected,Not Issued
2748,1395,540052,17.09,84,Business Loan,Travel,2022-11-06,Rejected,Not Issued
2749,1396,348335,9.05,24,Car Loan,Vehicle,2023-09-18,Approved,Closed
2750,1396,621105,9.74,36,Personal Loan,Home Purchase,2023-05-18,Approved,Active
2751,1397,3826287,8.67,48,Home Loan,Medical,2024-11-18,Approved,Active
2752,1398,4097390,12.78,84,Home Loan,Vehicle,2023-06-18,Pending,Not Issued
2753,1398,2217595,13.49,12,Personal Loan,Vehicle,2023-04-08,Approved,Active
2754,1399,1657863,16.5,48,Car Loan,Medical,2025-06-18,Rejected,Not Issued
2755,1400,2802016,17.63,60,Education Loan,Medical,2024-04-17,Pending,Not Issued
2756,1400,2267423,13.97,36,Business Loan,Education,2024-09-29,Pending,Not Issued
2757,1400,2363276,17.98,24,Education Loan,Medical,2026-04-07,Pending,Not Issued
2758,1401,4111508,8.48,12,Education Loan,Business Expansion,2026-04-17,Approved,Default
2759,1401,4212970,8.75,36,Personal Loan,Medical,2023-07-10,Approved,Active
